AD	 n. 公元；广告（ad）
free	 adj.  自由的， 无约束的； 免费的， 无偿的； 空闲的， 未被占用的； 无…的， 摆
free	 adj. 免费的；自由的，不受约束的；[化学] 游离的 v. 使自由，解放；释放 adv. 自由地；免费 n. (Free)人名；(英)弗里
freedom	 n. 自由，自主；直率
freeway	 n. 高速公路
freeze	 v. 冻结；冷冻；僵硬 n. 冻结；凝固
freeze	 v. （使）结冰，（使）冻结 n. 〔价格、工资等的〕冻结
freezing	 adj. 冰冻的；严寒的；冷冻用的
frequent	 adj. 频繁的；时常发生的；惯常的 v. 常到，常去；时常出入于
fresh	 adj.  新的， 新到的； 新鲜的， 未经腌熏的
fresh	 adj. 新鲜的；清新的；淡水的；无经验的 n. 开始；新生；泛滥 adv. 刚刚，才；最新地
friction	 n. 摩擦，[力] 摩擦力
fridge	 n.  电冰箱
fridge	 n. 电冰箱
fried	 adj. 油炸的，油煎的；喝醉了的 v. 油炸（fry的过去分词）
friend	 n.  朋友， 友人
friend	 n. 朋友；助手；赞助者
friendly	 adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
friendship	 n.  友谊， 友好
friendship	 n. 友谊；友爱；友善
fright	 n. 惊吓；惊骇 v. 使惊恐
frighten	 v. 使惊吓；吓唬…
frog	 n.  蛙
frog	 n. 青蛙；[铁路] 辙叉；饰扣 v. 捕蛙
from	 prep.  从…来， 出自； 离； 去除， 免掉； 从， 据； 因
front	 adj.  前面的， 在前面的 n. 前面，正面；前线，战线
front	 n. 前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前
frontier	 n. 前沿；边界；国境 adj. 边界的；开拓的
frost	 v. 结霜于；冻坏 n. 霜；冰冻，严寒；冷淡
fruit	 n.  水果， 果实； 成果， 结果
fruit	 n. 水果；产物 v. 结果实
frustrate	 v.  使沮丧， 使灰心； 失败
fry	 n. 鱼苗；油炸食物 v. 油炸；油煎
fry	 v.  油煎， 油炸
fuel	 v. 得到燃料 n. 燃料；刺激因素
full	 adj.  满的， 装满的； 完全的， 完整的
full	 adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的 adv. 十分，非常；完全地；整整 v. 把衣服缝得宽大 n. 全部；完整
fun	 adj. 有趣的，令人愉快的 n.  有趣的事； 乐趣， 娱乐
fun	 n. 乐趣；玩笑；有趣的人或事 adj. 供娱乐用的 vi. 开玩笑
function	 n. 功能；[数] 函数；职责；盛大的集会 v. 运行；活动；行使职责
fundamental	 adj. 基本的，根本的 n. 基本原理；基本原则
funeral	 n. 葬礼；麻烦事 adj. 丧葬的，出殡的
funny	 adj.  有趣的， 可笑的
funny	 adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明 n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
fur	 n. 皮，皮子；毛皮；软毛 v. 用毛皮覆盖；使穿毛皮服装
furnished	 adj. 家具，有家具的 v. 供应；装备（furnish的过去分词）
furniture	 n.  家具
furry	 adj.  毛皮的， 盖着毛皮的
future	 adj. 将来的，未来的 n.  将来， 今后； 前途， 前景
future	 n. 未来；前途；期货；将来时 adj. 将来的，未来的
gain	 n. 增加；利润；收获 v. 获得；增加；赚到
gale	 n. [气象] 大风，狂风；（突发的）一阵
gallery	 n.  画廊， 美术馆； 楼座； 廊台， 走廊
gallery	 n. 画廊；走廊；旁听席；地道 vt. 在…修建走廊；在…挖地道 vi. 挖地道
gallon	 n. 加仑（容量单位）
game	 n.  游戏， 娱乐； 运动， 比赛
game	 n. 游戏；比赛 adj. 勇敢的 v. 赌博
garage	 n.  车库； 汽车修理行
garage	 n. 车库；汽车修理厂；飞机库 v. 把……送入车库；把（汽车）开进车库
garbage	 n. 垃圾；废物
garden	 n. 花园；菜园 v. 栽培花木
gardening	 n. 园艺；园林工人的工作
garlic	 n. 大蒜；蒜头
garment	 n. 衣服，服装；外表，外观 v. 给…穿衣服
gas	 n. 气体；[矿业] 瓦斯；汽油；毒气 v. 加油；毒（死）
gate	 n.  大门； 有大门的出入口； 观众人数， 门票收入
gate	 n. 大门；出入口；门道 v. 给…装大门
gather	 v. 收集；收割；使…聚集；使…皱起 n. 聚集；衣褶；收获量
gay	 adj. 快乐的；放荡的；艳丽的 n. 同性恋者
general	 adj. 一般的，普通的；普遍的，全体的；笼统的，大体的 n.  将军； 一般原则
general	 adj. 一般的，普通的；综合的；大体的 n. 一般；将军，上将；常规
generation	 n. 一代；产生；一代人；生殖
generous	 adj. 慷慨的，大方的；宽宏大量的；有雅量的
gentle	 adj.  温柔的， 慈祥的； 文雅的， 有礼貌的； 温和的， 暖和的
gentle	 adj. 温和的；文雅的 v. 使温和，使驯服 n. 蛆，饵
gentleman	 n.  有教养的人， 彬彬有礼的人； 先生， 男士
gentleman	 n. 先生；绅士；有身份的人
geography	 n. 地理；地形
geometry	 n. 几何学
gesture	 n. 姿态；手势 v. 作手势；用动作示意
get	 v.  [got-gotten/got] 获得， 弄到； 收到； 变得； 拿来； 理解， 听到； 到达
get	 v. 使得；获得；受到；变成 n. 生殖；幼兽
gift	 n.  礼物， 赠品； 天赋， 才能
gift	 n. 礼物；天赋；赠品 v. 赋予；向…赠送
gifted	 adj. 有天赋的；有才华的 v. 给予（gift的过去分词）
giraffe	 n. 长颈鹿
girl	 n.  姑娘， 女孩； 女儿
girl	 n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
girlfriend	 n.  女朋友； 女性朋友
give	 v.  [gave-given] 给予， 赠送； 供给， 提供； 做出， 发出
give	 v. 给；产生；让步；举办；授予 n. 弹性；弯曲；伸展性
glad	 adj. 高兴的；乐意的；令人高兴的；灿烂美丽的 vt. 使高兴 n. (Glad)人名；(塞、瑞典)格拉德；(英)格莱德；(法、挪)格拉
glance	 n. 一瞥；一滑；闪光 v. 扫视，匆匆一看；反光；瞥闪，瞥见
glare	 n. 刺眼；耀眼的光；受公众注目 v. 瞪眼表示
glass	 n. 玻璃；玻璃制品；镜子 v. 反映；给某物加玻璃
glasshouse	 n. 温室；暖房
globe	 n. 地球；地球仪；球体 vt. 使…成球形 vi. 成球状
glory	 n. 光荣，荣誉；赞颂 v. 自豪，骄傲；狂喜
glove	 n. 手套 vt. 给…戴手套
glue	 v. 粘合；似胶般固着于 n. 胶；各种胶合物
go	 v. 走；达到；运转；趋于 n. 去；进行；尝试
goal	 n. 目标；球门，得分数；终点 vi. 攻门，射门得分
goat	 n. 山羊；替罪羊（美俚）；色鬼（美俚）
god	 n. 神；（大写首字母时）上帝 vt. 膜拜，崇拜
gold	 n. 金，黄金；金色；金币 adj. 金的，金制的；金色的
golden	 adj. 金色的，黄金般的；珍贵的；金制的 n. (Golden)人名；(英、法、罗、德、瑞典)戈尔登
golf	 n. 高尔夫球；高尔夫球运动 v. 打高尔夫球
good	 adj. 好的；优良的；愉快的；虔诚的 n. 好处；善行；慷慨的行为 adv. 好
goodness	 int. 天哪 n. 善良，优秀 ；精华，养分
goods	 n. 商品；动产；合意的人；真本领
goose	 n. 鹅；鹅肉；傻瓜；雌鹅 v. 突然加大油门；嘘骂
govern	 v. 管理；支配；统治；控制 n. (Govern)人名；(英)戈文
government	 n. 政府；政体；管辖
gown	 n. 长袍，长外衣；礼服；睡袍；法衣 v. 使穿睡衣
grade	 n. 年级；等级；成绩；级别；阶段 v. 评分；把…分等级
gradually	 adv. 逐步地；渐渐地
graduate	 v. 授予…学位；分等级；标上刻度 n. 研究生；毕业生 adj. 毕业的；研究生的
graduation	 n. 毕业；毕业典礼；刻度，分度；分等级
grain	 n. 粮食；颗粒；[作物] 谷物；纹理 v. 成谷粒
gram	 n. 克；鹰嘴豆（用作饲料）
grammar	 n. 语法；语法书
grand	 adj. 宏伟的；豪华的；极重要的 n. 大钢琴；一千美元
grandchild	 n. 孙子；孙女；外孙；外孙女
granddaughter	 n. 孙女；外孙女
grandma	 n. 奶奶；外婆
grandpa	 n. 爷爷；外公
grandparents	 n. 祖父母（grandparent的复数）；外祖父母
grandson	 n. 孙子；外孙
granny	 n. 奶奶；外婆；婆婆妈妈的人
grape	 n. 葡萄；葡萄酒；葡萄树；葡萄色
graph	 n. 图表；曲线图 v. 用曲线图表示
grasp	 n. 抓住；理解；控制 v. 抓住；领会
grass	 n. 草；草地，草坪 v. 放牧；使……长满草；使……吃草
grateful	 adj. 感谢的；令人愉快的，宜人的
gravity	 n. 重力，地心引力；严重性；庄严
great	 adj. 伟大的，重大的；极好的，好的；主要的 n. 大师；大人物；伟人们
greedy	 adj. 贪婪的；贪吃的；渴望的
green	 adj. 绿色的；青春的 n. 绿色；青春 v. 使…变绿色
greengrocer	 n. 蔬菜水果商；菜贩
greet	 v. 欢迎，迎接；致敬，致意；映入眼帘 n. (Greet)人名；(英)格里特
greeting	 n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）
grey	 adj. 灰色的；灰白的 v. 使变成灰色；使变老 n. 灰色
grill	 v. 烧，烤； n. 烤架，铁格子；烤肉
grocer	 n. 杂货店；食品商
ground	 n. 地面；土地；范围；战场;根据 v. 使接触地面；打基础；使搁浅 adj. 土地的；地面上的；磨碎的；磨过的
group	 n. 组；团体 adj. 群的；团体的 v. 聚合
grow	 v. 发展；生长；渐渐变得… n. (Grow)人名；(英)格罗
growth	 n. 增长；发展；生长；种植
gruel	 vt. 使极度疲劳；累垮 n. 稀粥
guard	 n. 守卫；警戒；护卫队；防护装置 v. 警惕
guess	 v. 猜测；认为；推测；猜中 n. 猜测；推测
guest	 n. 客人，宾客；顾客 v. 款待，招待 adj. 客人的；特邀的，客座的
guidance	 n. 指导，引导；领导
guide	 n. 指南；向导；入门书 v. 引导；带领；操纵
guilty	 adj. 有罪的；内疚的
gun	 n. 枪支；枪状物；持枪歹徒 v. 用枪射击；加大油门快速前进
gy	 abbr. 灰色（gray）；圭亚那（Guyana） n. 戈瑞
gymnastics	 n. 体操；体育；体操运动
ha	 int. 哈！（表示惊异，愉快，怀疑，胜利等） abbr. 一种元素(hahnium,原子序105) n. (Ha)人名；(德)哈；(日)巴 (姓)
habit	 n. 习惯，习性；嗜好 v. 使穿衣
hair	 n. 头发；毛发；些微 vt. 除去…的毛发 vi. 生长毛发；形成毛状纤维 adj. 毛发的；护理毛发的；用毛发制成的
haircut	 n. 理发；发型
half	 adv.  一半 adj. 一半的，半个的 n. 半，一半
half	 n. 一半；半场；半学年 adv. 一半地；部分地 adj. 一半的；不完全的；半途的
hall	 n.  门厅； 礼堂， 会堂； 办公大楼
hall	 n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
hallway	 n.  走廊， 回廊； 门厅， 过道
ham	 n.  火腿
ham	 n. 火腿；业余无线电爱好者；蹩脚演员 v. 表演过火 adj. 过火的；做作的
hamburger	 n.  汉堡包
hamburger	 n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
hammer	 v. 锤击；敲打；重复 n. 铁锤；链球；[解剖] 锤骨；音锤
hand	 n. 手，手艺；帮助；指针；插手 v. 传递，交给；支持；搀扶
hand	 v.  交， 给 n. 手；指针；帮助，援助；手艺，技能
handbag	 n.  手提包
handbag	 n. 手提包
handful	 n. 少数；一把；棘手事
handkerchief	 n. 手帕；头巾，围巾
handle	 n. [建] 把手；柄；手感；口实 v. 处理；操作；运用；买卖；触摸
handsome	 adj.  漂亮的， 英俊的； 端庄健美的， 好看的； 慷慨的， 可观的
handsome	 adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
handtruck	 手推车
handwriting	 n. 笔迹；书法；书写；手稿 v. 亲手写（handwrite的ing形式）
handy	 adj. 便利的；手边的，就近的；容易取得的；敏捷的 n. (Handy)人名；(英)汉迪
hang	 v.  [hung-hung] 悬挂， 吊； 徘徊； [hanged-hanged] 吊
hang	 v. 悬挂，垂下；装饰；绞死；使悬而未决 n. 悬挂；暂停，中止
happen	 v.  发生； 碰巧， 恰好
happen	 v. 发生；碰巧；偶然遇到
happily	 adv. 快乐地；幸福地；幸运地；恰当地
happiness	 n. 幸福
happy	 adj.  快乐的， 愉快的； 幸福的； 令人满意的
happy	 adj. 幸福的；高兴的；巧妙的 n. (Happy)人名；(英、瑞典、喀)哈皮
harbour	 v. 藏匿；入港停泊；庇护 n. 海港（等于harbor）；避难所
hard	 adj.  坚硬的， 坚固的； 困难的， 艰苦的； 勤勉的， 刻苦
hard	 adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的 adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地 n. (Hard)人名；(英、芬、瑞典)哈德
hardly	 adv.  几乎不， 简直不； 刚刚， 仅仅
hardly	 adv. 几乎不，简直不；刚刚
hardship	 n. 困苦；苦难；艰难险阻
hardworking	 adj. 努力工作的；不辞辛劳的，苦干的 v. 努力工作（hardwork的ing形式）
harm	 n. 伤害；损害 v. 伤害；危害；损害
harmful	 adj. 有害的；能造成损害的
harmless	 adj. 无害的；无恶意的
harmony	 n. 协调；和睦；融洽；调和
harvest	 n. 收获；产量；结果 v. 收割；得到
hat	 n.  帽子
hat	 n. 帽子 v. 给……戴上帽子
hatch	 n. 孵化；舱口 v. 孵；策划
hate	 v. 憎恨，不喜欢 n.  厌恶， 憎恨
hate	 v. 憎恨；厌恶；遗憾 n. 憎恨；反感
have	 v.  有； 进行， 从事； 享受， 经受； 使， 让； 必须， 不得不
have	 v. 有；让；拿；从事；允许 aux. 已经 n. (Have)人名；(芬)哈韦；(德)哈弗
hawk	 v. 兜售，沿街叫卖；捕捉；咳出 n. 鹰；鹰派成员；掠夺他人的人
hay	 n. 干草 v. 把晒干
he	 n. 男孩，男人；它（雄性动物） pron. 他
he	 pron.  他； 一个人
head	 n.  头， 头部； 顶部， 前端； 领导， 首脑； 头数； 头脑， 智力
head	 n. 头；头痛；上端；最前的部分；理解力 v. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 adj. 头的；主要的；在顶端的
headache	 n.  头痛； 令人头痛的人
headache	 n. 头痛；麻烦；令人头痛之事
headline	 n. 大标题；内容提要；栏外标题；头版头条新闻 v. 给…加标题；使成为注意中心；大力宣传
headmaster	 n. 校长
headmistress	 n. 女校长
headteacher	 n. 中小学的校长
health	 n.  健康； 卫生， 保健
health	 n. 健康；卫生；保健；兴旺
healthy	 adj. 健康的，健全的；有益于健康的
heap	 n. 堆；许多；累积 v. 堆；堆积
hear	 v.  [heard-heard] 听见； 听到， 得知； 审讯， 听证； 收到…的信
hear	 v. 听到，听；听说；审理
hearing	 n. 听力；审讯，听讯 v. 听见（hear的ing形式）
heart	 n.  心， 心脏； 内心， 感情； 勇气， 热忱； 中心， 要点
heart	 n. 心脏；感情；勇气；心形；要点 vt. 鼓励；铭记 vi. 结心
heat	 n. 高温；压力；热度；热烈 v. 使激动；把…加热
heat	 v.  加热， 变热 n. 热，炎热；体温，热度；激动；激烈
heaven	 n. 天堂，
heaven	 n. 天堂；天空；极乐
heavily	 adv. 沉重地；猛烈地；沉闷地
heavy	 adj.  重的， 重型的； 大量的， 密集的； 严重的， 严厉的； 剧烈的， 繁重的； 沉重
heavy	 adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
heel	 n.  脚后跟， 踵； 后跟
heel	 n. 脚后跟；踵 v. 倾侧
height	 n.  高， 高度； 高处， 高地； 顶点
height	 n. 高地；高度；身高；顶点
